Predictions,True_Values
41.42762681750112,41.450000263647745
41.488867290073074,41.3499999461269
41.16877736834579,41.3499999461269
41.443928707831574,41.3499999461269
41.21770708646328,41.3499999461269
40.91612452006248,41.3499999461269
41.39199928249519,41.999999948830144
41.160747002341566,41.999999948830144
41.095081171501874,41.450000263647745
41.12323760795117,41.450000263647745
41.14690135417958,41.450000263647745
40.75447080646108,41.450000263647745
41.14743726156179,41.450000263647745
41.11451743295753,41.400000104887326
41.10084835940738,41.400000104887326
41.49059662197183,41.400000104887326
41.30865606571071,41.400000104887326
41.254350784313175,41.400000104887326
41.504032094868194,41.49999973534742
